Contact,Contenu,Sms provenant du : destinataire(1) / local (2),Non lu(0)/ Lu(1),Date du SMS
36173,Auchan Drive. Nous vous confirmons la préparation de votre commande; celle-ci sera disponible le 11/05/2020 entre 10h et 10h30.,1,1,08/07/2021 11:23:10
33612345717,rdv demain au parc à 17h c'est bon ?,1,1,20/05/2021 09:00:00
33612345717,ok,2,0,02/07/2021 12:20:00
33612345707,ça vous dit de passer manger à la maison ce weekend ?,1,0,13/06/2021 09:21:00
33612345707,Yeah carrément,2,1,10/06/2021 09:21:01
39657,PIN Airbnb. Votre code confidentiel est le 654879. Ne partagez jamais ce code.,1,1,10/06/2021 09:21:02
33612345709,Grosse soirée demain tu viens ?,2,1,07/06/2021 21:21:03
33612345709,Grave ou ça ?,1,1,07/06/2021 21:22:04
33612345709,Chez moi; j'en ai trouvé de la bonne; tu va halluciner,2,1,07/06/2021 21:31:05
33612345709,génial hate de tester ça,1,1,07/06/2021 21:32:06
33612345711,Salut vieux; on boit un coup ce soir ?,1,1,13/06/2021 19:21:07
33612345711,Ba ouai vas y je passe te chercher,2,1,13/06/2021 19:22:08
36888,Info Bouygtel : Vous avez atteint 10 euros de hors forfait. Pour plus d'infos: RDV sur bouyguestelecom.fr; rubrique MonCompte,1,1,17/06/2021 09:21:09
